best_values,best_gens
0.36435252355521763,71
0.5116108690596207,166
0.44006404046639624,191
0.43965055729121605,41
0.4858752287622202,93
0.3503700371575693,62
0.29360699242659727,152
0.5123650674696059,65
0.47599156049110103,46
0.4602737954656161,108
0.4187461874061017,116
0.44617834576209325,128
0.48858958341010383,182
0.5124384843341885,123
0.39740586617923657,167
0.3111416410560732,30
0.5423181673787225,90
0.41129578268477307,96
0.49603031823017996,86
0.3233602673122503,174
0.4724424449254273,137
0.42720534763934404,197
0.5792122631833547,96
0.38851856023884734,150
0.4903079956595454,93
0.2561310873492866,114
0.3103052532328905,28
0.30557367413344927,136
0.44879441867431313,81
0.38566309841704305,50
0.3965232938498858,190
0.35644391313868484,115
0.3072575242990445,53
0.473862304487767,156
0.5220815254645493,49
0.4779450301063092,46
0.4220280246362422,48
0.4673887157333987,99
0.39592583809735693,145
0.45095094036589944,20
0.47090600943386596,49
0.4792047633766746,32
0.4420823163581612,70
0.36269348676054447,140
0.44078203695549767,51
0.5483308890622399,183
0.5595263202190791,141
0.49479433041857357,189
0.471474819410585,181
0.45186866497061484,158
0.5269663236971203,63
0.5002839235977106,21
0.3721499375714977,48
0.3888048773149346,75
0.37737573780846045,149
0.3912575936852437,143
0.40637285431592673,1
0.3666893275820674,198
0.5192556941385355,16
0.37113855365658355,159
0.41473893616368274,100
0.4037661882135192,194
0.37609918922416263,102
0.47629612135975063,187
0.4007951083510989,91
0.405498315433783,148
0.5130562334918531,43
0.4690249796724735,129
0.35357122261748186,71
0.51641520602914,85
0.2962482955884639,194
0.30174285445220084,194
0.47624131361158484,67
0.34784319856952184,49
0.4246505019272657,152
0.495066413648822,94
0.3541748008038256,188
0.380421274647337,169
0.380664372330469,137
0.4286991184054719,31
0.4216896754513252,57
0.4871967157581928,190
0.42974361299035146,20
0.4757645285472053,40
0.4767684706348869,178
0.2703517692420633,61
0.4822559760391263,149
0.27145777458892184,152
0.4559818395703754,138
0.2862936714840767,105
0.43356943138134363,145
0.30409203316272293,174
0.45611143295323875,149
0.5057021010087478,28
0.44506141357948903,40
0.4216442315340301,80
0.4566855957851317,158
0.5013183319508583,124
0.4835711627315592,87
0.5136448170891861,167
